id,name,type,age,year,sector,genre,land
tf,Tom Felton,1,,,7,,
td,The Disappeared,2,21,2008,1,4,UK
mt,Maennertrip,2,23,2010,1,6,US
nw,Night Wolf,2,23,2010,1,4,UK
wo,White Other,2,23,2010,1,3,UK
pda,Planet der Affen Prevolution,2,24,2011,1,5,US
app,Apparition,2,25,2012,1,4,US
dvl,Das verlorene Labyrinth,2,25,2012,2,2,UK
ftr,From the Rough,2,26,2013,1,2,US
is,In Secret,2,26,2013,1,2,US
deb,Dido Elizabeth Belle,2,26,2013,1,2,UK
fc1,Full Circle,2,26,2013,2,2,US
fc2,Full Circle,2,26,2013,2,2,US
mitf,Murder in the First,2,27,2014,2,3,US
dbpp,How I didnt become a Piano Player,2,27,2014,1,2,UK
ats,Against the Sun,2,27,2014,1,2,US
auf,Auferstanden,2,29,2016,1,1,US
vvdw,Völlig von der Wolle,2,29,2016,1,8,RUS
mftk,Message from the King,2,29,2016,1,3,US
auk,A United Kingdom,2,29,2016,1,2,UK
str,Stratton,2,30,2017,1,1,UK
sr,Sergeant Rex,2,30,2017,1,2,US
thef,The Flash,2,29,2016,2,5,US
feed,Feed,2,30,2017,1,2,US
oph,Ophelia,2,31,2018,1,2,UK
es,James Arthur Empty Space,2,31,2018,5,9,UK
ori,Origin,2,31,2018,2,5,US
bfw,Braking for Whales,2,32,2019,1,6,US
abgtmh,A Babysitters Guide to Monster Hunting,2,33,2020,1,5,US
suds,Die Schlacht um die Schelde,2,33,2020,1,2,NLD
totm,A Tale of Two Mindsets,2,34,2021,1,2,UK
stc,Save the Cinema,2,35,2022,1,6,UK
cdm,Canyon Del Muerto,2,35,2022,1,2,US
aye,Russ ft Ed Sheeran Are You Entertained,2,35,2022,5,9,US
burial,Burial,2,35,2022,1,4,UK
ltp,Lost Tribe Productions,2,,,9,,
jk,Johnny Kevorkian,1,,,8,,
up,Universal Pictures,2,,,9,,
nis,Nicholas Stoller,1,,,8,,
ee,Eyeline Entertainment,2,,,9,,
jg,Jonathan Glendening,1,,,8,,
dh,Dan Hartley,1,,,8,,
20cf,Twentieth Century Fox,2,,,9,,
rw,Rupert Wyatt,1,,,8,,
wb,Warner Bros,2,,,9,,
tl,Todd Lincoln,1,,,8,,
sfp,Scott Free Productions,2,,,9,,
criss,Cristopher Smith,1,,,8,,
ftrp,From the Rough Productions,2,,,9,,
pb,Pierre Bagley,1,,,8,,
ld,LD Entertainment,2,,,9,,
chars,Charlie Stratton,1,,,8,,
dj,DJ Films,2,,,9,,
aa,Amma Asante,1,,,8,,
mom,Momentum TV,2,,,9,,
nh,Nick Hamm,1,,,8,,
ml,Mimi Leder,1,,,8,,
tnt,TNT Originals,2,,,9,,
tp,Tommaso Pitta,1,,,8,,
jb,Jesse Bochco,1,,,8,,
afc,The American Film Company,2,,,9,,
bpf,Brian Peter Falk,1,,,8,,
kr,Kevin Reynolds,1,,,8,,
wa,Wizart Animations,2,,,9,,
ag,Andrey Galat,1,,,8,,
bm,Backup Media,2,,,9,,
fdw,Fabrice du Welz,1,,,8,,
puk,Pathe UK,2,,,9,,
ata,Atomic Arts,2,,,9,,
sw,Simon West,1,,,8,,
gc,Gabriela Cowperthwaite,1,,,8,,
berlani,Berlani Productions,2,,,9,,
indy,Indy Entertainment,2,,,9,,
tb,Tommy Bertelsen,1,,,8,,
cm,Covert Media,2,,,9,,
cmcc,Claire McCarthy,1,,,8,,
ce,Cardel Entertainment,2,,,9,,
anga,Andzej Gavriss,1,,,8,,
lbp,Left Bank Pictures,2,,,9,,
